project_id,project_name,project_type,state,district,project_manager_id,village_count,land_area_acres,affected_families,total_landowners,project_budget,planned_start_date,planned_completion_date,current_stage,project_status,created_at,updated_at
LG-000293,Thrissur Dam Expressway Development,Dam,Kerala,Thrissur,USR-00937,35,2238.95,3878,7066,91826435303.09,2019-05-12,2024-05-10,R&R,Active,2019-05-12 09:00:00,2019-05-29 09:00:00
LG-000294,Wayanad Highway Metro Line Extension,Highway,Kerala,Wayanad,USR-00937,35,8434.62,1970,2820,42348892940.93,2023-10-26,2028-10-24,Objection/Hearing,Active,2023-10-26 09:00:00,2024-05-26 09:00:00
LG-000295,Agar Malwa Metro Smart City Water Network,Metro,Madhya Pradesh,Agar Malwa,USR-00940,26,6986.25,102,144,49411199256.34,2019-05-26,2023-05-25,Final Handover,Completed,2019-05-26 09:00:00,2019-07-15 09:00:00
LG-000296,Alirajpur Industrial Corridor Bypass Construction,Industrial Corridor,Madhya Pradesh,Alirajpur,USR-00956,30,6216.36,3176,6650,72870134750.83,2018-02-13,2020-02-13,Final Handover,Active,2018-02-13 09:00:00,2018-09-21 09:00:00
LG-000297,Anuppur Urban Development Smart City Water Network,Urban Development,Madhya Pradesh,Anuppur,USR-00974,39,7078.89,660,1641,69707932496.37,2023-06-02,2028-05-31,R&R,Completed,2023-06-02 09:00:00,2024-03-28 09:00:00
LG-000298,Ashoknagar Railway Power Grid Link,Railway,Madhya Pradesh,Ashoknagar,USR-00982,30,822.21,2615,3654,19273740399.99,2019-11-04,2024-11-02,Compensation,Active,2019-11-04 09:00:00,2020-04-04 09:00:00
LG-000299,Balaghat Railway Ring Road Phase II,Railway,Madhya Pradesh,Balaghat,USR-00956,8,8950.47,654,769,73358804443.91,2024-11-06,2029-11-05,Legal Resolution,Cancelled,2024-11-06 09:00:00,2024-11-24 09:00:00
LG-000300,Barwani Airport Power Grid Link,Airport,Madhya Pradesh,Barwani,USR-00974,31,4704.82,1037,2543,51144211868.28,2023-02-18,2027-02-17,Final Handover,Active,2023-02-18 09:00:00,2023-04-12 09:00:00
LG-000301,Betul Urban Development Irrigation Modernization,Urban Development,Madhya Pradesh,Betul,USR-00956,14,8265.34,4309,9222,10998074802.71,2024-02-03,2026-02-02,Compensation,On Hold,2024-02-03 09:00:00,2024-03-13 09:00:00
LG-000302,Bhind Highway Freight Corridor Expansion,Highway,Madhya Pradesh,Bhind,USR-00974,29,936.85,330,448,34652492471.09,2019-10-04,2025-10-02,Approval,Active,2019-10-04 09:00:00,2019-11-04 09:00:00
LG-000303,Bhopal Airport Freight Corridor Expansion,Airport,Madhya Pradesh,Bhopal,USR-00878,30,5222.66,1049,2119,22353447408.96,2020-08-21,2022-08-21,R&R,Active,2020-08-21 09:00:00,2021-02-04 09:00:00
LG-000304,Burhanpur Urban Development Irrigation Modernization,Urban Development,Madhya Pradesh,Burhanpur,USR-00982,26,9581.11,4839,9752,28904986937.62,2018-02-24,2020-02-24,Land Identification,Active,2018-02-24 09:00:00,2018-06-29 09:00:00
LG-000305,Chhatarpur Airport Ring Road Phase II,Airport,Madhya Pradesh,Chhatarpur,USR-00982,38,2275.73,2514,6267,57860726427.67,2022-08-24,2027-08-23,R&R,Cancelled,2022-08-24 09:00:00,2023-06-06 09:00:00
LG-000306,Chhindwara Airport Freight Corridor Expansion,Airport,Madhya Pradesh,Chhindwara,USR-00878,1,7602.48,48,122,28478144800.5,2022-10-03,2025-10-02,Survey,Active,2022-10-03 09:00:00,2022-10-30 09:00:00
LG-000307,Damoh Metro Power Grid Link,Metro,Madhya Pradesh,Damoh,USR-00878,38,837.25,4960,11181,98658052093.68,2019-11-22,2024-11-20,Compensation,Completed,2019-11-22 09:00:00,2020-08-03 09:00:00
LG-000308,Datia Railway Greenfield Connector,Railway,Madhya Pradesh,Datia,USR-00956,14,5049.37,1168,1760,58078011852.04,2018-10-27,2020-10-26,Land Identification,Completed,2018-10-27 09:00:00,2019-04-17 09:00:00
LG-000309,Dewas Highway Freight Corridor Expansion,Highway,Madhya Pradesh,Dewas,USR-00982,23,404.98,851,1619,48259374551.48,2021-10-25,2024-10-24,Approval,Active,2021-10-25 09:00:00,2021-12-28 09:00:00
LG-000310,Dhar Railway Expressway Development,Railway,Madhya Pradesh,Dhar,USR-00956,4,9615.57,4185,6038,22070996897.94,2019-10-15,2025-10-13,Survey,Active,2019-10-15 09:00:00,2020-06-20 09:00:00
LG-000311,Dindori Highway Ring Road Phase II,Highway,Madhya Pradesh,Dindori,USR-00940,32,4140.65,704,1363,82603297739.27,2022-03-06,2024-03-05,Legal Resolution,Active,2022-03-06 09:00:00,2022-07-14 09:00:00
LG-000312,Guna Railway Bypass Construction,Railway,Madhya Pradesh,Guna,USR-00940,32,5332.15,1690,3732,78350560327.95,2022-02-15,2028-02-14,Possession,Completed,2022-02-15 09:00:00,2022-05-25 09:00:00
LG-000313,Gwalior Highway Bypass Construction,Highway,Madhya Pradesh,Gwalior,USR-00956,12,4680.98,4420,5758,61857356795.39,2022-05-09,2027-05-08,Land Identification,Active,2022-05-09 09:00:00,2023-01-25 09:00:00
LG-000314,Harda Canal Metro Line Extension,Canal,Madhya Pradesh,Harda,USR-00940,8,1222.6,1903,4315,65104486835.71,2019-04-11,2024-04-09,Final Handover,Completed,2019-04-11 09:00:00,2019-11-17 09:00:00
LG-000315,Narmadapuram Railway Irrigation Modernization,Railway,Madhya Pradesh,Narmadapuram,USR-00974,29,6658.91,1653,2497,69121769505.82,2024-09-22,2029-09-21,Objection/Hearing,Active,2024-09-22 09:00:00,2025-04-02 09:00:00
LG-000316,Indore Metro Freight Corridor Expansion,Metro,Madhya Pradesh,Indore,USR-00940,32,9509.4,3962,8424,6903536592.52,2018-06-17,2022-06-16,R&R,Active,2018-06-17 09:00:00,2019-04-01 09:00:00
LG-000317,Jabalpur Railway Bypass Construction,Railway,Madhya Pradesh,Jabalpur,USR-00940,6,1500.96,2934,6506,71314386190.84,2020-09-14,2024-09-13,R&R,Active,2020-09-14 09:00:00,2021-01-03 09:00:00
LG-000318,Jhabua Metro Power Grid Link,Metro,Madhya Pradesh,Jhabua,USR-00974,10,1239.18,4065,8660,99671160046.98,2023-09-10,2026-09-09,Documentation,Active,2023-09-10 09:00:00,2024-06-21 09:00:00
LG-000319,Katni Metro Irrigation Modernization,Metro,Madhya Pradesh,Katni,USR-00956,18,3121.91,3642,8986,91725997348.62,2023-07-28,2028-07-26,Possession,Active,2023-07-28 09:00:00,2024-04-01 09:00:00
LG-000320,Khandwa Airport Expressway Development,Airport,Madhya Pradesh,Khandwa,USR-00878,10,5818.32,74,133,1696147741.35,2021-05-13,2023-05-13,Documentation,Completed,2021-05-13 09:00:00,2022-02-17 09:00:00
LG-000321,Khargone Dam Greenfield Connector,Dam,Madhya Pradesh,Khargone,USR-00982,14,4878.43,2553,4991,42921481844.73,2020-05-05,2024-05-04,Land Identification,Active,2020-05-05 09:00:00,2020-06-20 09:00:00
LG-000322,Mandla Industrial Corridor Bypass Construction,Industrial Corridor,Madhya Pradesh,Mandla,USR-00878,14,9388.63,2913,7037,99781159694.6,2019-11-15,2023-11-14,Objection/Hearing,Active,2019-11-15 09:00:00,2020-07-13 09:00:00
LG-000323,Mandsaur Canal Ring Road Phase II,Canal,Madhya Pradesh,Mandsaur,USR-00982,8,7728.02,3769,4269,48155771324.42,2020-06-01,2025-05-31,Survey,Active,2020-06-01 09:00:00,2020-12-12 09:00:00
LG-000324,Morena Metro Power Grid Link,Metro,Madhya Pradesh,Morena,USR-00956,32,8552.1,4377,8576,33869006292.12,2021-08-20,2027-08-19,Approval,Cancelled,2021-08-20 09:00:00,2022-05-30 09:00:00
LG-000325,Narsinghpur Industrial Corridor Metro Line Extension,Industrial Corridor,Madhya Pradesh,Narsinghpur,USR-00940,18,53.32,4005,8114,99027607882.11,2021-11-05,2023-11-05,Land Identification,Active,2021-11-05 09:00:00,2022-01-26 09:00:00
LG-000326,Neemuch Water Supply Ring Road Phase II,Water Supply,Madhya Pradesh,Neemuch,USR-00982,22,5978.44,4800,8164,95316267189.82,2021-11-04,2027-11-03,R&R,Completed,2021-11-04 09:00:00,2022-07-14 09:00:00
LG-000327,Niwari Railway Bypass Construction,Railway,Madhya Pradesh,Niwari,USR-00940,31,6650.01,4485,10348,48553882157.49,2022-08-02,2026-08-01,Compensation,Active,2022-08-02 09:00:00,2022-11-13 09:00:00
LG-000328,Panna Water Supply Bypass Construction,Water Supply,Madhya Pradesh,Panna,USR-00982,6,2562.17,72,179,65415781222.58,2019-09-23,2025-09-21,Compensation,Active,2019-09-23 09:00:00,2020-05-03 09:00:00
LG-000329,Raisen Railway Smart City Water Network,Railway,Madhya Pradesh,Raisen,USR-00940,6,1539.91,1686,3589,21555593351.32,2022-04-08,2028-04-06,Land Identification,Active,2022-04-08 09:00:00,2022-07-26 09:00:00
LG-000330,Rajgarh Highway Metro Line Extension,Highway,Madhya Pradesh,Rajgarh,USR-00956,16,7364.89,1972,4631,98624262326.16,2020-09-11,2025-09-10,Approval,Active,2020-09-11 09:00:00,2021-05-26 09:00:00
LG-000331,Ratlam Dam Irrigation Modernization,Dam,Madhya Pradesh,Ratlam,USR-00974,12,4068.35,3178,4797,38573592588.12,2021-04-21,2023-04-21,R&R,Active,2021-04-21 09:00:00,2022-01-17 09:00:00
LG-000332,Rewa Water Supply Greenfield Connector,Water Supply,Madhya Pradesh,Rewa,USR-00982,36,9556.19,3663,6752,24874334683.03,2019-02-14,2023-02-13,Documentation,Active,2019-02-14 09:00:00,2019-08-15 09:00:00
LG-000333,Sagar Railway Industrial Cluster Feeder,Railway,Madhya Pradesh,Sagar,USR-00878,25,8285.79,723,817,75686338313.07,2018-12-15,2022-12-14,Survey,On Hold,2018-12-15 09:00:00,2019-06-30 09:00:00
LG-000334,Satna Industrial Corridor Industrial Cluster Feeder,Industrial Corridor,Madhya Pradesh,Satna,USR-00956,23,7242.49,2952,6609,94842519080.58,2019-03-27,2023-03-26,Objection/Hearing,Active,2019-03-27 09:00:00,2019-06-29 09:00:00
LG-000335,Sehore Water Supply Expressway Development,Water Supply,Madhya Pradesh,Sehore,USR-00982,36,9675.76,156,259,93998574460.0,2022-10-18,2024-10-17,Documentation,Completed,2022-10-18 09:00:00,2023-08-11 09:00:00
LG-000336,Seoni Airport Power Grid Link,Airport,Madhya Pradesh,Seoni,USR-00982,23,3287.09,894,2222,25764762214.14,2019-11-01,2021-10-31,Possession,Active,2019-11-01 09:00:00,2020-05-25 09:00:00
LG-000337,Shahdol Power Project Metro Line Extension,Power Project,Madhya Pradesh,Shahdol,USR-00940,16,5228.03,1141,1548,35633528901.64,2024-10-20,2030-10-19,Final Handover,Active,2024-10-20 09:00:00,2025-02-14 09:00:00
LG-000338,Shajapur Dam Greenfield Connector,Dam,Madhya Pradesh,Shajapur,USR-00956,23,7455.55,74,171,24433414926.38,2020-06-26,2025-06-25,R&R,Active,2020-06-26 09:00:00,2021-03-29 09:00:00
LG-000339,Sheopur Airport Smart City Water Network,Airport,Madhya Pradesh,Sheopur,USR-00974,20,3885.26,2929,6549,20383778525.91,2022-03-24,2028-03-22,Legal Resolution,Active,2022-03-24 09:00:00,2022-09-20 09:00:00
LG-000340,Shivpuri Power Project Expressway Development,Power Project,Madhya Pradesh,Shivpuri,USR-00940,38,7668.43,597,743,50437754915.13,2018-03-25,2024-03-23,R&R,Active,2018-03-25 09:00:00,2018-06-02 09:00:00
LG-000341,Sidhi Railway Expressway Development,Railway,Madhya Pradesh,Sidhi,USR-00974,25,208.67,2982,3439,2704201917.34,2018-09-27,2021-09-26,Objection/Hearing,Active,2018-09-27 09:00:00,2019-06-25 09:00:00
LG-000342,Singrauli Railway Greenfield Connector,Railway,Madhya Pradesh,Singrauli,USR-00956,27,6562.82,1721,3550,52433443692.65,2020-05-11,2022-05-11,R&R,Active,2020-05-11 09:00:00,2020-08-11 09:00:00
LG-000343,Tikamgarh Industrial Corridor Expressway Development,Industrial Corridor,Madhya Pradesh,Tikamgarh,USR-00940,21,2299.71,749,1003,3360719781.76,2018-07-07,2023-07-06,R&R,Active,2018-07-07 09:00:00,2019-02-03 09:00:00
LG-000344,Ujjain Highway Freight Corridor Expansion,Highway,Madhya Pradesh,Ujjain,USR-00974,11,7385.56,493,940,60470921650.67,2018-12-19,2023-12-18,Notification,On Hold,2018-12-19 09:00:00,2019-05-20 09:00:00
LG-000345,Umaria Metro Greenfield Connector,Metro,Madhya Pradesh,Umaria,USR-00878,40,4409.92,611,1498,32981608278.69,2020-07-06,2023-07-06,Survey,On Hold,2020-07-06 09:00:00,2020-07-25 09:00:00
LG-000346,Vidisha Dam Expressway Development,Dam,Madhya Pradesh,Vidisha,USR-00940,32,9504.65,3836,4719,55042963882.33,2020-10-09,2024-10-08,Legal Resolution,Active,2020-10-09 09:00:00,2021-01-17 09:00:00
LG-000347,Mauganj Water Supply Power Grid Link,Water Supply,Madhya Pradesh,Mauganj,USR-00878,18,5094.2,588,1201,47719649040.56,2024-12-13,2027-12-13,Notification,Completed,2024-12-13 09:00:00,2025-08-23 09:00:00
LG-000348,Maihar Urban Development Bypass Construction,Urban Development,Madhya Pradesh,Maihar,USR-00982,17,7831.54,975,1264,73509951780.23,2020-07-04,2026-07-03,R&R,Active,2020-07-04 09:00:00,2021-03-19 09:00:00
LG-000349,Pandhurna Industrial Corridor Expressway Development,Industrial Corridor,Madhya Pradesh,Pandhurna,USR-00878,26,9283.7,1723,2756,79974240312.02,2022-10-22,2026-10-21,Compensation,Active,2022-10-22 09:00:00,2023-07-26 09:00:00
LG-000350,Ahilyanagar Railway Expressway Development,Railway,Maharashtra,Ahilyanagar,USR-00955,5,6313.33,2676,5370,79280608493.7,2023-12-03,2026-12-02,Legal Resolution,Active,2023-12-03 09:00:00,2024-07-21 09:00:00
LG-000351,Akola Power Project Bypass Construction,Power Project,Maharashtra,Akola,USR-00885,13,1859.92,4955,10895,45046652893.23,2022-11-02,2026-11-01,Survey,Active,2022-11-02 09:00:00,2023-02-16 09:00:00
LG-000352,Amravati Highway Irrigation Modernization,Highway,Maharashtra,Amravati,USR-00955,28,9864.57,1809,2539,42362435197.72,2021-10-09,2024-10-08,Approval,Completed,2021-10-09 09:00:00,2021-10-20 09:00:00
LG-000353,Chhatrapati Sambhajinagar Railway Irrigation Modernization,Railway,Maharashtra,Chhatrapati Sambhajinagar,USR-00875,1,8071.23,725,825,86565213175.03,2022-04-03,2024-04-02,Documentation,Active,2022-04-03 09:00:00,2022-05-16 09:00:00
LG-000354,Beed Metro Metro Line Extension,Metro,Maharashtra,Beed,USR-00955,19,7173.33,2697,3130,12264020626.98,2020-09-14,2022-09-14,Final Handover,On Hold,2020-09-14 09:00:00,2021-07-03 09:00:00
LG-000355,Bhandara Metro Metro Line Extension,Metro,Maharashtra,Bhandara,USR-00993,17,540.18,3337,5664,28770784509.74,2021-02-19,2024-02-19,Land Identification,Completed,2021-02-19 09:00:00,2021-03-24 09:00:00
LG-000356,Buldhana Urban Development Ring Road Phase II,Urban Development,Maharashtra,Buldhana,USR-00901,18,1718.27,3410,7303,38278206478.39,2021-07-02,2023-07-02,Final Handover,Active,2021-07-02 09:00:00,2021-07-15 09:00:00
LG-000357,Chandrapur Highway Bypass Construction,Highway,Maharashtra,Chandrapur,USR-00885,31,3018.45,1324,2397,52480158801.93,2019-04-10,2022-04-09,Documentation,Active,2019-04-10 09:00:00,2019-08-15 09:00:00
LG-000358,Dharashiv Water Supply Smart City Water Network,Water Supply,Maharashtra,Dharashiv,USR-00885,39,537.12,3273,6121,82429923486.71,2023-10-10,2025-10-09,R&R,Active,2023-10-10 09:00:00,2024-02-29 09:00:00
LG-000359,Dhule Urban Development Smart City Water Network,Urban Development,Maharashtra,Dhule,USR-00901,18,3915.78,468,822,17841695705.03,2022-09-08,2025-09-07,R&R,Active,2022-09-08 09:00:00,2023-02-16 09:00:00
LG-000360,Gadchiroli Highway Metro Line Extension,Highway,Maharashtra,Gadchiroli,USR-00875,19,3489.69,3554,6935,17836109085.7,2022-10-21,2027-10-20,Notification,Active,2022-10-21 09:00:00,2023-02-10 09:00:00
LG-000361,Gondia Urban Development Greenfield Connector,Urban Development,Maharashtra,Gondia,USR-00993,16,8811.87,1325,1868,88903856294.9,2021-11-02,2023-11-02,Compensation,Active,2021-11-02 09:00:00,2022-05-07 09:00:00
LG-000362,Hingoli Metro Freight Corridor Expansion,Metro,Maharashtra,Hingoli,USR-00875,33,9356.35,1887,2742,28340902922.34,2020-05-19,2025-05-18,Documentation,Active,2020-05-19 09:00:00,2020-05-31 09:00:00
LG-000363,Jalgaon Canal Metro Line Extension,Canal,Maharashtra,Jalgaon,USR-00993,22,6022.05,2312,5517,26490575865.71,2020-04-24,2023-04-24,Documentation,Active,2020-04-24 09:00:00,2021-01-14 09:00:00
LG-000364,Jalna Industrial Corridor Smart City Water Network,Industrial Corridor,Maharashtra,Jalna,USR-00875,21,2225.85,2010,2650,19491527380.31,2018-09-01,2021-08-31,Possession,Active,2018-09-01 09:00:00,2019-03-05 09:00:00
LG-000365,Kolhapur Urban Development Ring Road Phase II,Urban Development,Maharashtra,Kolhapur,USR-00955,18,7875.43,1669,3336,79175024072.02,2018-12-19,2021-12-18,Documentation,Active,2018-12-19 09:00:00,2019-04-24 09:00:00
LG-000366,Latur Railway Smart City Water Network,Railway,Maharashtra,Latur,USR-00885,2,9618.54,4232,4945,53592723553.43,2020-03-17,2024-03-16,Objection/Hearing,Completed,2020-03-17 09:00:00,2020-06-28 09:00:00
LG-000367,Mumbai City Industrial Corridor Industrial Cluster Feeder,Industrial Corridor,Maharashtra,Mumbai City,USR-00901,38,6428.39,2369,5447,93834617843.25,2020-05-25,2025-05-24,Land Identification,Active,2020-05-25 09:00:00,2020-09-29 09:00:00
LG-000368,Mumbai Suburban Metro Industrial Cluster Feeder,Metro,Maharashtra,Mumbai Suburban,USR-00993,18,2409.36,4596,10380,15523023874.41,2019-10-26,2024-10-24,Documentation,Completed,2019-10-26 09:00:00,2020-03-02 09:00:00
LG-000369,Nagpur Urban Development Freight Corridor Expansion,Urban Development,Maharashtra,Nagpur,USR-00955,13,6260.09,434,617,33379390209.94,2023-07-03,2029-07-01,Land Identification,Completed,2023-07-03 09:00:00,2024-04-22 09:00:00
LG-000370,Nanded Urban Development Industrial Cluster Feeder,Urban Development,Maharashtra,Nanded,USR-00993,6,6287.54,2548,4477,18261424346.53,2018-11-13,2021-11-12,Documentation,Active,2018-11-13 09:00:00,2019-03-17 09:00:00
LG-000371,Nandurbar Power Project Expressway Development,Power Project,Maharashtra,Nandurbar,USR-00955,21,1978.15,2196,4347,61400033835.43,2024-09-27,2029-09-26,Possession,Completed,2024-09-27 09:00:00,2025-07-03 09:00:00
LG-000372,Nashik Highway Irrigation Modernization,Highway,Maharashtra,Nashik,USR-00955,28,9859.7,3931,4723,67069990241.96,2021-03-13,2026-03-12,Objection/Hearing,Completed,2021-03-13 09:00:00,2021-09-21 09:00:00
LG-000373,Palghar Metro Power Grid Link,Metro,Maharashtra,Palghar,USR-00955,37,4175.79,2806,3228,57708822431.9,2023-11-27,2027-11-26,Approval,Active,2023-11-27 09:00:00,2024-05-23 09:00:00
LG-000374,Parbhani Industrial Corridor Metro Line Extension,Industrial Corridor,Maharashtra,Parbhani,USR-00875,9,914.27,2867,3358,59027130509.28,2023-09-23,2025-09-22,Compensation,Active,2023-09-23 09:00:00,2023-12-05 09:00:00
LG-000375,Pune Railway Bypass Construction,Railway,Maharashtra,Pune,USR-00875,36,8103.62,2771,4491,52870118521.75,2024-02-22,2029-02-20,Approval,Completed,2024-02-22 09:00:00,2024-08-25 09:00:00
LG-000376,Raigad Highway Bypass Construction,Highway,Maharashtra,Raigad,USR-00901,38,4369.59,1297,2585,44591807530.21,2019-05-07,2021-05-06,Possession,Completed,2019-05-07 09:00:00,2020-01-16 09:00:00
LG-000377,Ratnagiri Metro Freight Corridor Expansion,Metro,Maharashtra,Ratnagiri,USR-00955,38,9418.63,1233,2666,5552749440.75,2024-09-27,2027-09-27,Notification,Active,2024-09-27 09:00:00,2025-01-17 09:00:00
LG-000378,Sangli Highway Industrial Cluster Feeder,Highway,Maharashtra,Sangli,USR-00875,15,9778.46,406,470,60248407479.79,2022-12-23,2028-12-21,Documentation,Active,2022-12-23 09:00:00,2023-09-29 09:00:00
LG-000379,Satara Power Project Greenfield Connector,Power Project,Maharashtra,Satara,USR-00901,39,2517.75,2036,4579,26825022014.58,2020-08-26,2026-08-25,Approval,Cancelled,2020-08-26 09:00:00,2021-06-02 09:00:00
LG-000380,Sindhudurg Power Project Bypass Construction,Power Project,Maharashtra,Sindhudurg,USR-00993,13,5450.79,1771,4176,95075513193.04,2022-03-24,2026-03-23,Objection/Hearing,Active,2022-03-24 09:00:00,2022-06-15 09:00:00
LG-000381,Solapur Power Project Irrigation Modernization,Power Project,Maharashtra,Solapur,USR-00901,13,1747.47,1381,2413,82944331646.15,2024-12-26,2027-12-26,Possession,Active,2024-12-26 09:00:00,2025-05-24 09:00:00
LG-000382,Thane Industrial Corridor Bypass Construction,Industrial Corridor,Maharashtra,Thane,USR-00901,36,1038.83,3049,6670,82621234524.57,2018-11-18,2024-11-16,Possession,Active,2018-11-18 09:00:00,2019-04-14 09:00:00
LG-000383,Wardha Industrial Corridor Metro Line Extension,Industrial Corridor,Maharashtra,Wardha,USR-00875,30,3739.68,3497,5245,27824510326.34,2019-01-15,2022-01-14,R&R,Active,2019-01-15 09:00:00,2019-07-28 09:00:00
LG-000384,Washim Dam Smart City Water Network,Dam,Maharashtra,Washim,USR-00885,25,7200.47,2048,4867,70803141338.99,2018-04-03,2020-04-02,Final Handover,Active,2018-04-03 09:00:00,2018-11-14 09:00:00
LG-000385,Yavatmal Power Project Expressway Development,Power Project,Maharashtra,Yavatmal,USR-00901,5,1593.46,2566,3843,26678397557.81,2021-03-23,2023-03-23,Land Identification,On Hold,2021-03-23 09:00:00,2021-12-12 09:00:00
LG-000386,Bishnupur Highway Smart City Water Network,Highway,Manipur,Bishnupur,USR-00966,37,5563.84,3312,5072,16278155329.81,2024-10-02,2026-10-02,Notification,On Hold,2024-10-02 09:00:00,2025-06-01 09:00:00
LG-000387,Chandel Urban Development Metro Line Extension,Urban Development,Manipur,Chandel,USR-00966,11,3668.48,1427,2766,93146870412.57,2019-12-24,2025-12-22,Approval,Active,2019-12-24 09:00:00,2020-03-07 09:00:00
LG-000388,Churachandpur Railway Industrial Cluster Feeder,Railway,Manipur,Churachandpur,USR-00871,11,7961.4,1202,2531,78549560495.27,2023-08-03,2025-08-02,Approval,Completed,2023-08-03 09:00:00,2024-03-01 09:00:00
LG-000389,Imphal East Highway Metro Line Extension,Highway,Manipur,Imphal East,USR-00871,40,3382.12,2635,3545,4750495504.21,2022-03-21,2025-03-20,Possession,Active,2022-03-21 09:00:00,2022-12-27 09:00:00
LG-000390,Imphal West Railway Smart City Water Network,Railway,Manipur,Imphal West,USR-00880,28,148.09,4206,6405,65899885669.61,2023-02-04,2028-02-03,Legal Resolution,Active,2023-02-04 09:00:00,2023-09-03 09:00:00
LG-000391,Jiribam Highway Irrigation Modernization,Highway,Manipur,Jiribam,USR-00966,25,8082.8,2073,2867,48390993579.21,2020-11-18,2023-11-18,Final Handover,Completed,2020-11-18 09:00:00,2021-05-25 09:00:00
LG-000392,Kakching Dam Expressway Development,Dam,Manipur,Kakching,USR-00871,3,5011.91,3495,6506,66459090545.61,2018-07-18,2021-07-17,Objection/Hearing,On Hold,2018-07-18 09:00:00,2018-09-17 09:00:00
LG-000393,Kamjong Urban Development Ring Road Phase II,Urban Development,Manipur,Kamjong,USR-00961,8,2627.04,824,1585,97106701962.14,2021-07-19,2025-07-18,Notification,Active,2021-07-19 09:00:00,2021-08-10 09:00:00
LG-000394,Kangpokpi Industrial Corridor Expressway Development,Industrial Corridor,Manipur,Kangpokpi,USR-00966,11,3867.87,209,295,32892878473.11,2021-12-08,2023-12-08,Land Identification,Active,2021-12-08 09:00:00,2022-02-21 09:00:00
LG-000395,Noney Highway Ring Road Phase II,Highway,Manipur,Noney,USR-00961,25,9320.45,910,1599,47150728144.67,2023-09-07,2025-09-06,Land Identification,Active,2023-09-07 09:00:00,2023-10-19 09:00:00
LG-000396,Pherzawl Canal Greenfield Connector,Canal,Manipur,Pherzawl,USR-00895,32,4168.66,2189,3750,45422905572.89,2022-10-02,2027-10-01,Final Handover,Completed,2022-10-02 09:00:00,2022-12-18 09:00:00
LG-000397,Senapati Urban Development Ring Road Phase II,Urban Development,Manipur,Senapati,USR-00880,40,3516.46,1252,2131,58781918596.44,2021-10-09,2026-10-08,Notification,Active,2021-10-09 09:00:00,2022-07-25 09:00:00
LG-000398,Tamenglong Railway Expressway Development,Railway,Manipur,Tamenglong,USR-00871,32,4239.45,269,358,52885458523.42,2024-11-15,2029-11-14,Land Identification,Cancelled,2024-11-15 09:00:00,2025-02-15 09:00:00
LG-000399,Tengnoupal Water Supply Power Grid Link,Water Supply,Manipur,Tengnoupal,USR-00920,35,5187.1,4921,6578,1379582044.39,2023-01-28,2025-01-27,Land Identification,Active,2023-01-28 09:00:00,2023-07-11 09:00:00
LG-000400,Thoubal Highway Irrigation Modernization,Highway,Manipur,Thoubal,USR-00920,5,6792.12,3077,5516,82501849497.26,2024-06-18,2026-06-18,Compensation,Completed,2024-06-18 09:00:00,2024-08-20 09:00:00
LG-000401,Ukhrul Urban Development Metro Line Extension,Urban Development,Manipur,Ukhrul,USR-00966,28,8909.28,3215,6044,56001642004.56,2018-03-12,2020-03-11,Legal Resolution,Active,2018-03-12 09:00:00,2018-10-09 09:00:00
LG-000402,East Garo Hills Highway Freight Corridor Expansion,Highway,Meghalaya,East Garo Hills,USR-00947,31,3696.27,1099,1833,13080949061.85,2024-05-05,2026-05-05,R&R,Active,2024-05-05 09:00:00,2024-07-27 09:00:00
LG-000403,East Jaintia Hills Urban Development Metro Line Extension,Urban Development,Meghalaya,East Jaintia Hills,USR-01013,36,7936.43,1060,1636,21785897109.11,2024-02-04,2029-02-02,Compensation,Active,2024-02-04 09:00:00,2024-04-16 09:00:00
LG-000404,East Khasi Hills Dam Industrial Cluster Feeder,Dam,Meghalaya,East Khasi Hills,USR-01011,23,3431.38,1271,1427,90876534737.57,2021-05-13,2027-05-12,Approval,Active,2021-05-13 09:00:00,2021-06-14 09:00:00
LG-000405,Eastern West Khasi Hills Water Supply Industrial Cluster Feeder,Water Supply,Meghalaya,Eastern West Khasi Hills,USR-00986,9,4389.12,2064,3493,48910957021.69,2021-11-17,2026-11-16,Documentation,On Hold,2021-11-17 09:00:00,2022-03-25 09:00:00
LG-000406,North Garo Hills Water Supply Power Grid Link,Water Supply,Meghalaya,North Garo Hills,USR-00916,35,7249.0,1239,3104,69282642181.64,2021-11-02,2027-11-01,Final Handover,Active,2021-11-02 09:00:00,2022-06-10 09:00:00
LG-000407,Ri Bhoi Water Supply Greenfield Connector,Water Supply,Meghalaya,Ri Bhoi,USR-00981,18,9804.97,1775,3631,26768238099.77,2021-05-27,2024-05-26,Possession,Active,2021-05-27 09:00:00,2021-10-29 09:00:00
LG-000408,South Garo Hills Dam Power Grid Link,Dam,Meghalaya,South Garo Hills,USR-00947,23,8024.99,1553,2896,18023198050.07,2021-08-01,2023-08-01,Notification,Active,2021-08-01 09:00:00,2022-04-27 09:00:00
LG-000409,South West Garo Hills Metro Ring Road Phase II,Metro,Meghalaya,South West Garo Hills,USR-00916,17,5603.33,4554,7912,54457314954.01,2022-06-17,2028-06-15,Possession,Active,2022-06-17 09:00:00,2023-01-26 09:00:00
